objectID,title,artist,artistNationality,artistBeginDate,artistEndDate,objectDate,objectBeginDate,objectEndDate,medium,dimensions,culture,period,dynasty,region,country,department,classification,objectName,creditLine,description,tags,primaryImageSmall,primaryImage,objectURL,isPublicDomain,isHighlight,content_flags,is_famous_artist,fetched_dept_name,era,text_features
435731,The Coronation of the Virgin,Botticelli,Italian,1444,1510,,1475,1499,"Tempera on canvas, transferred from wood",39 1/2 x 60 1/4 in. (100.3 x 153 cm),unknown,unknown,unknown,,,European Paintings,Paintings,Painting,"The Jules Bache Collection, 1949","Painting | Medium: Tempera on canvas, transferred from wood | The Jules Bache Collection, 1949",Men Saint Francis Saint John the Baptist Virgin Mary Saints Coronation of the Virgin,https://images.metmuseum.org/CRDImages/ep/web-large/DT350031.jpg,https://images.metmuseum.org/CRDImages/ep/original/DT350031.jpg,https://www.metmuseum.org/art/collection/search/435731,True,False,,True,European Paintings,renaissance,"Men Saint Francis Saint John the Baptist Virgin Mary Saints Coronation of the Virgin Tempera on canvas, transferred from wood"
435729,Three Miracles of Saint Zenobius,Botticelli (Alessandro di Mariano Filipepi),Italian,1444,1510,ca. 1500,1495,1505,Tempera on wood,26 1/2 x 59 1/4 in. (67.3 x 150.5 cm),unknown,unknown,unknown,,,European Paintings,Paintings,Painting,"John Stewart Kennedy Fund, 1911","Painting | Medium: Tempera on wood | John Stewart Kennedy Fund, 1911",Men Horses Saint Zenobius,https://images.metmuseum.org/CRDImages/ep/web-large/DP-18875-001.jpg,https://images.metmuseum.org/CRDImages/ep/original/DP-18875-001.jpg,https://www.metmuseum.org/art/collection/search/435729,True,False,,True,European Paintings,renaissance,Men Horses Saint Zenobius Tempera on wood
435728,The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),Italian,1444,1510,early 1490s,1490,1493,Tempera and gold on wood,13 1/2 x 10 in. (34.3 x 25.4 cm),unknown,unknown,unknown,,,European Paintings,Paintings,Painting,"Bequest of Benjamin Altman, 1913","Painting | Medium: Tempera and gold on wood | Bequest of Benjamin Altman, 1913",Saint Jerome Monks Crucifixion,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24049-001.jpg,https://images.metmuseum.org/CRDImages/ep/original/DP-24049-001.jpg,https://www.metmuseum.org/art/collection/search/435728,True,True,violence|religious,True,European Paintings,renaissance,Saint Jerome Monks Crucifixion Tempera and gold on wood
459478,The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),Italian,1444,1510,ca. 1491–1503(?),1486,1506,"Pen and brown ink, brown wash, traces of black chalk.",6 1/4 x 7 3/4 in.  (15.9 x 19.7 cm),unknown,unknown,unknown,,,Robert Lehman Collection,Drawings,Drawing,"Robert Lehman Collection, 1975","Drawing | Medium: Pen and brown ink, brown wash, traces of black chalk. | Robert Lehman Collection, 1975",Saint Jerome Monks,https://images.metmuseum.org/CRDImages/rl/web-large/DP358982.jpg,https://images.metmuseum.org/CRDImages/rl/original/DP358982.jpg,https://www.metmuseum.org/art/collection/search/459478,True,False,,True,Robert Lehman Collection,renaissance,"Saint Jerome Monks Pen and brown ink, brown wash, traces of black chalk."
459001,Madonna Adoring the Child,Botticelli (Alessandro di Mariano Filipepi),Italian,1444,1510,ca. 1490–95,1485,1495,Tempera and gold on wood,Overall: 30 1/2 × 22 1/2 in. (77.5 × 57.2 cm),unknown,unknown,unknown,,,Robert Lehman Collection,Paintings,Painting,"Robert Lehman Collection, 1975","Painting | Medium: Tempera and gold on wood | Robert Lehman Collection, 1975",Virgin Mary Jesus Nativity,https://images.metmuseum.org/CRDImages/rl/web-large/DP318246.jpg,https://images.metmuseum.org/CRDImages/rl/original/DP318246.jpg,https://www.metmuseum.org/art/collection/search/459001,True,False,,True,Robert Lehman Collection,renaissance,Virgin Mary Jesus Nativity Tempera and gold on wood
459738,Marketplace in Pontoise,Camille Pissarro,French,1830,1903,1886,1886,1886,"Graphite, pen and black-gummed ink on buff wove paper (glossy on verso); right margin torn from notebook","6 5/8 in. × 5 in. (16.8 × 12.7 cm)
Framed: 21 1/4 × 16 1/4 in. (54 × 41.3 cm)",unknown,unknown,unknown,,,Robert Lehman Collection,Drawings,Drawing,"Robert Lehman Collection, 1975","Drawing | Medium: Graphite, pen and black-gummed ink on buff wove paper (glossy on verso); right margin torn from notebook | Robert Lehman Collection, 1975",Markets,https://images.metmuseum.org/CRDImages/rl/web-large/DP-33580-001.jpg,https://images.metmuseum.org/CRDImages/rl/original/DP-33580-001.jpg,https://www.metmuseum.org/art/collection/search/459738,True,False,,True,Robert Lehman Collection,nineteenth_century,"Markets Graphite, pen and black-gummed ink on buff wove paper (glossy on verso); right margin torn from notebook"
437315,Fan Mount: The Cabbage Gatherers,Camille Pissarro,French,1830,1903,ca. 1878–79,1850,1903,Gouache on silk,6 1/2 x 20 1/2 in. (16.5 x 52.1 cm),unknown,unknown,unknown,,,European Paintings,Drawings,Drawing,"Purchase, Leonora Brenauer Bequest, in memory of her father, Joseph B. Brenauer, 1994","Drawing | Medium: Gouache on silk | Purchase, Leonora Brenauer Bequest, in memory of her father, Joseph B. Brenauer, 1994",Farms Vegetables Women Agriculture Working,https://images.metmuseum.org/CRDImages/ep/web-large/DT1858.jpg,https://images.metmuseum.org/CRDImages/ep/original/DT1858.jpg,https://www.metmuseum.org/art/collection/search/437315,True,False,,True,European Paintings,nineteenth_century,Farms Vegetables Women Agriculture Working Gouache on silk
358743,The Market at Gisors: Rue Cappeville,Camille Pissarro,French,1830,1903,1894–95,1894,1895,Color etching and drypoint on laid paper; seventh state of seven; posthumous impression,"sheet: 10 3/8 x 7 7/8 in. (26.3 x 20 cm)
plate: 6 9/16 x 4 7/16 in. (16.7 x 11.2 cm)",unknown,unknown,unknown,,,Drawings and Prints,Prints,Print,"Harris Brisbane Dick Fund, 1939","Print | Medium: Color etching and drypoint on laid paper; seventh state of seven; posthumous impression | Harris Brisbane Dick Fund, 1939",Buildings Crowd Markets,https://images.metmuseum.org/CRDImages/dp/web-large/DP821725.jpg,https://images.metmuseum.org/CRDImages/dp/original/DP821725.jpg,https://www.metmuseum.org/art/collection/search/358743,True,False,,True,Drawings and Prints,nineteenth_century,Buildings Crowd Markets Color etching and drypoint on laid paper; seventh state of seven; posthumous impression
437301,The Public Garden at Pontoise,Camille Pissarro,French,1830,1903,1874,1874,1874,Oil on canvas,23 5/8 x 28 3/4 in. (60 x 73 cm),unknown,unknown,unknown,,,European Paintings,Paintings,Painting,"Gift of Mr. and Mrs. Arthur Murray, 1964","Painting | Medium: Oil on canvas | Gift of Mr. and Mrs. Arthur Murray, 1964",Human Figures Gardens,https://images.metmuseum.org/CRDImages/ep/web-large/DT1868.jpg,https://images.metmuseum.org/CRDImages/ep/original/DT1868.jpg,https://www.metmuseum.org/art/collection/search/437301,True,False,,True,European Paintings,nineteenth_century,Human Figures Gardens Oil on canvas
437305,A Washerwoman at Eragny,Camille Pissarro,French,1830,1903,1893,1893,1893,Oil on canvas,18 x 15 in. (45.7 x 38.1 cm),unknown,unknown,unknown,,,European Paintings,Paintings,Painting,"Gift of Mr. and Mrs. Richard Rodgers, 1964","Painting | Medium: Oil on canvas | Gift of Mr. and Mrs. Richard Rodgers, 1964",Gardens Women Washing Working,https://images.metmuseum.org/CRDImages/ep/web-large/DT1867.jpg,https://images.metmuseum.org/CRDImages/ep/original/DT1867.jpg,https://www.metmuseum.org/art/collection/search/437305,True,False,,True,European Paintings,nineteenth_century,Gardens Women Washing Working Oil on canvas
